Flight_Status,Carrier,Dest,Origin,Weather,Day_Week
ontime,OH,JFK,BWI,0,Th
ontime,DH,JFK,DCA,0,Th
ontime,DH,LGA,IAD,0,Th
ontime,DH,LGA,IAD,0,Th
ontime,DH,LGA,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,JFK,IAD,0,Th
ontime,DH,LGA,IAD,0,Th
ontime,DL,JFK,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,DL,LGA,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
ontime,MQ,JFK,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,MQ,LGA,DCA,0,Th
ontime,UA,LGA,IAD,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,US,LGA,DCA,0,Th
ontime,RU,EWR,BWI,0,Th
ontime,RU,EWR,BWI,0,Th
ontime,RU,EWR,BWI,0,Th
ontime,RU,EWR,BWI,0,Th
ontime,CO,EWR,DCA,0,Th
ontime,CO,EWR,DCA,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,DH,EWR,IAD,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,IAD,0,Th
ontime,RU,EWR,DCA,0,Th
ontime,OH,JFK,BWI,0,F
ontime,DH,JFK,DCA,0,F
ontime,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
ontime,DH,LGA,IAD,0,F
delayed,DH,LGA,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
delayed,DH,JFK,IAD,0,F
ontime,DH,JFK,IAD,0,F
ontime,DH,LGA,IAD,0,F
ontime,DL,JFK,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,DL,LGA,DCA,0,F
ontime,MQ,JFK,DCA,0,F
ontime,MQ,JFK,DCA,0,F
ontime,MQ,JFK,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,MQ,LGA,DCA,0,F
ontime,UA,LGA,IAD,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,US,LGA,DCA,0,F
ontime,RU,EWR,BWI,0,F
ontime,RU,EWR,BWI,0,F
ontime,RU,EWR,BWI,0,F
ontime,RU,EWR,BWI,0,F
ontime,CO,EWR,DCA,0,F
ontime,CO,EWR,DCA,0,F
ontime,CO,EWR,DCA,0,F
ontime,DH,EWR,IAD,0,F
delayed,DH,EWR,IAD,0,F
delayed,DH,EWR,IAD,0,F
ontime,DH,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
ontime,RU,EWR,DCA,0,F
delayed,RU,EWR,IAD,0,F
ontime,RU,EWR,DCA,0,F
ontime,DH,LGA,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
delayed,DH,JFK,IAD,0,Sa
ontime,DH,JFK,IAD,0,Sa
ontime,DH,LGA,IAD,0,Sa
delayed,DL,JFK,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
ontime,DL,LGA,DCA,0,Sa
